resolver,model_tier,model,inst_id,conflict_type,n_sources,correct,misled,abstained,judged,chosen_source,pred_object,gold_object,conflict_object,usd
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,James Pat Rokeby Black,mixed,2,1,0,0,,,Susan Elizabeth Bone,Susan Elizabeth Bone,John Herbert,0.00057549148
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Andreas Højsleth,mixed,2,1,0,0,,,Fnatic,Fnatic,Arizona Wildcats men's basketball,0.00191861
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Moe Z. Win,mixed,2,1,0,0,,,IEEE Fellow,IEEE Fellow,Righteous Among the Nations,0.00121341
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Monisola Oginni,mixed,2,0,1,0,,,Weill Cornell Medicine,Obafemi Awolowo University,Weill Cornell Medicine,0.00218416
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Elvira R. Akhmetzyanova,mixed,2,0,1,0,,,Russian State Institute of Performing Arts,Kazan Federal University,Russian State Institute of Performing Arts,0.00037645718
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Kurt L. Feigl,mixed,2,1,0,0,,,University of Wisconsin–Madison,University of Wisconsin–Madison,Northwestern University,0.0026822
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Carl Temple Holden,mixed,2,1,0,0,,,Caroline Anne Gould,Caroline Anne Gould,Susan Frampton,0.001127148
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Thomas Dupré,mixed,2,1,0,0,,,German Sport University Cologne,German Sport University Cologne,Imperial College London,0.00236185
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Danielle W Koontz,mixed,2,1,0,0,,,Johns Hopkins School of Medicine,Johns Hopkins School of Medicine,International Agency for Research on Cancer,0.001501302
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Fajar Handika,mixed,2,1,0,0,,,Pro Duta F.C.,Pro Duta F.C.,Villarreal CF B,0.00154252594
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Robert Richardson Sears,mixed,2,1,0,0,,,APA Award for Distinguished Scientific Contributions to Psychology,APA Award for Distinguished Scientific Contributions to Psychology,Andrić prize,0.00117596
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Robert Mougin,mixed,2,0,0,0,,,politician,pensioner,Catholic bishop,0.007092846
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Edmond Crompton,mixed,2,1,0,0,,,Betsey Ann Kingston,Betsey Ann Kingston,Ambrose Isted,0.00055897802
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Michael C. De Siena,mixed,2,1,0,0,,,University of Washington,University of Washington,Eötvös Loránd University,0.0003901718
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Allan Hookings,mixed,2,1,0,0,,,Member of the South Australian Legislative Council,Member of the South Australian Legislative Council,United States representative,0.0002908207
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Carson Reynolds,mixed,2,1,0,0,,,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Weihenstephan-Triesdorf University of Applied Science,0.002271402
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Sandip Mukherjee,mixed,2,1,0,0,,,Visva-Bharati University,Visva-Bharati University,Channel One Russia,0.00080748
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Eumundi,mixed,2,1,0,0,,,Ninderry,Ninderry,canton of Flixecourt,0.0032583
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Marko Cvikl,mixed,2,1,0,0,,,Slovenia,Slovenia,Kingdom of Italy,0.00222374
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Athar Hussain Bukhari,mixed,2,0,0,1,,,,ambassador of Pakistan to Syria,ambassador of the United Kingdom to Poland,0.00574552
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Tony Hodges,mixed,2,1,0,0,1,,Boise State Broncos men's basketball team,Boise State Broncos men's basketball,LFA Reggio Calabria,0.00139211
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Janet Auchincloss Rutherfurd,mixed,2,1,0,0,,,Lewis Polk Rutherfurd,Lewis Polk Rutherfurd,Richard Wrightson,0.0015312
